STATISTIC;Statistic Label;TLIST(A1);Year;C02199V02655;Sex;C04335V05114;Ireland and Northern Ireland;UNIT;VALUE
CPNI01C01;Population;1841;1841;-;Both sexes;IE0;Ireland;Number;6528799
CPNI01C01;Population;1841;1841;-;Both sexes;N92000002;Northern Ireland;Number;1646325
CPNI01C01;Population;1841;1841;1;Male;IE0;Ireland;Number;3222485
CPNI01C01;Population;1841;1841;1;Male;N92000002;Northern Ireland;Number;797091
CPNI01C01;Population;1841;1841;2;Female;IE0;Ireland;Number;3306314
CPNI01C01;Population;1841;1841;2;Female;N92000002;Northern Ireland;Number;849234
CPNI01C01;Population;1851;1851;-;Both sexes;IE0;Ireland;Number;5111557
CPNI01C01;Population;1851;1851;-;Both sexes;N92000002;Northern Ireland;Number;1440835
CPNI01C01;Population;1851;1851;1;Male;IE0;Ireland;Number;2494478
CPNI01C01;Population;1851;1851;1;Male;N92000002;Northern Ireland;Number;696160
CPNI01C01;Population;1851;1851;2;Female;IE0;Ireland;Number;2617079
CPNI01C01;Population;1851;1851;2;Female;N92000002;Northern Ireland;Number;744675
CPNI01C01;Population;1861;1861;-;Both sexes;IE0;Ireland;Number;4402111
CPNI01C01;Population;1861;1861;-;Both sexes;N92000002;Northern Ireland;Number;1396183
CPNI01C01;Population;1861;1861;1;Male;IE0;Ireland;Number;2169042
CPNI01C01;Population;1861;1861;1;Male;N92000002;Northern Ireland;Number;667669
CPNI01C01;Population;1861;1861;2;Female;IE0;Ireland;Number;2233069
CPNI01C01;Population;1861;1861;2;Female;N92000002;Northern Ireland;Number;728514
CPNI01C01;Population;1871;1871;-;Both sexes;IE0;Ireland;Number;4053187
CPNI01C01;Population;1871;1871;-;Both sexes;N92000002;Northern Ireland;Number;1359190
CPNI01C01;Population;1871;1871;1;Male;IE0;Ireland;Number;1992468
CPNI01C01;Population;1871;1871;1;Male;N92000002;Northern Ireland;Number;647285
CPNI01C01;Population;1871;1871;2;Female;IE0;Ireland;Number;2060719
CPNI01C01;Population;1871;1871;2;Female;N92000002;Northern Ireland;Number;711905
CPNI01C01;Population;1881;1881;-;Both sexes;IE0;Ireland;Number;3870020
CPNI01C01;Population;1881;1881;-;Both sexes;N92000002;Northern Ireland;Number;1304816
CPNI01C01;Population;1881;1881;1;Male;IE0;Ireland;Number;1912438
CPNI01C01;Population;1881;1881;1;Male;N92000002;Northern Ireland;Number;620839
CPNI01C01;Population;1881;1881;2;Female;IE0;Ireland;Number;1957582
CPNI01C01;Population;1881;1881;2;Female;N92000002;Northern Ireland;Number;683977
CPNI01C01;Population;1891;1891;-;Both sexes;IE0;Ireland;Number;3468694
CPNI01C01;Population;1891;1891;-;Both sexes;N92000002;Northern Ireland;Number;1236056
CPNI01C01;Population;1891;1891;1;Male;IE0;Ireland;Number;1728601
CPNI01C01;Population;1891;1891;1;Male;N92000002;Northern Ireland;Number;590352
CPNI01C01;Population;1891;1891;2;Female;IE0;Ireland;Number;1740093
CPNI01C01;Population;1891;1891;2;Female;N92000002;Northern Ireland;Number;645704
CPNI01C01;Population;1901;1901;-;Both sexes;IE0;Ireland;Number;3221823
CPNI01C01;Population;1901;1901;-;Both sexes;N92000002;Northern Ireland;Number;1237000
CPNI01C01;Population;1901;1901;1;Male;IE0;Ireland;Number;1610085
CPNI01C01;Population;1901;1901;1;Male;N92000002;Northern Ireland;Number;590000
CPNI01C01;Population;1901;1901;2;Female;IE0;Ireland;Number;1611738
CPNI01C01;Population;1901;1901;2;Female;N92000002;Northern Ireland;Number;647000
CPNI01C01;Population;1911;1911;-;Both sexes;IE0;Ireland;Number;3139688
CPNI01C01;Population;1911;1911;-;Both sexes;N92000002;Northern Ireland;Number;1251000
CPNI01C01;Population;1911;1911;1;Male;IE0;Ireland;Number;1589509
CPNI01C01;Population;1911;1911;1;Male;N92000002;Northern Ireland;Number;603000
CPNI01C01;Population;1911;1911;2;Female;IE0;Ireland;Number;1550179
CPNI01C01;Population;1911;1911;2;Female;N92000002;Northern Ireland;Number;648000
CPNI01C01;Population;1926;1926;-;Both sexes;IE0;Ireland;Number;2971992
CPNI01C01;Population;1926;1926;-;Both sexes;N92000002;Northern Ireland;Number;1254000
CPNI01C01;Population;1926;1926;1;Male;IE0;Ireland;Number;1506889
CPNI01C01;Population;1926;1926;1;Male;N92000002;Northern Ireland;Number;607000
CPNI01C01;Population;1926;1926;2;Female;IE0;Ireland;Number;1465103
CPNI01C01;Population;1926;1926;2;Female;N92000002;Northern Ireland;Number;647000
CPNI01C01;Population;1936;1936;-;Both sexes;IE0;Ireland;Number;2968420
CPNI01C01;Population;1936;1936;-;Both sexes;N92000002;Northern Ireland;Number;1276000
CPNI01C01;Population;1936;1936;1;Male;IE0;Ireland;Number;1520454
CPNI01C01;Population;1936;1936;1;Male;N92000002;Northern Ireland;Number;621000
CPNI01C01;Population;1936;1936;2;Female;IE0;Ireland;Number;1447966
CPNI01C01;Population;1936;1936;2;Female;N92000002;Northern Ireland;Number;655000
CPNI01C01;Population;1946;1946;-;Both sexes;IE0;Ireland;Number;2955107
CPNI01C01;Population;1946;1946;-;Both sexes;N92000002;Northern Ireland;Number;1333000
CPNI01C01;Population;1946;1946;1;Male;IE0;Ireland;Number;1494877
